Sizes,Sizes Group,Sizes Group Count,
one size,700455345798571475,877,יחידים
54,-8725614115030325282,1,יחידים
"5XL, 4XL, 3XL, 2XL, XL, L, M, S",2857808831311792174,40,חולצות XS-5XL
"2XL, XL, L, M, S",1113304725121576563,7,חולצות XS-5XL
"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",739583987545114828,14,נעליים 35-48
"48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",-7829411099899344912,6,נעליים 35-48
"47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-6085058773725583097,18,נעליים 35-48
"L, M, XS",-1893214461223754711,1,חולצות XS-5XL
"5XL, 3XL, 2XL, XL, L, M, S",8795773979698433827,1,חולצות XS-5XL
"4XL, 3XL, 2XL, XL, L, M, S, XS",-6483835963723870644,1,חולצות XS-5XL
"4XL, 3XL, 2XL, XL, L, M, S",-1996423517076311580,29,חולצות XS-5XL
"5XL, 4XL, 3XL, 2XL, XL, L, M, S, XS",4739102188312561547,1,חולצות XS-5XL
"3XL, 2XL, XL, L, M, S",1285580055941491199,10,חולצות XS-5XL
"3XL, 2XL, XL, L, M, S, XS",8997148825981328039,2,חולצות XS-5XL
"35, 40, 38, 36, 29, 34, 33, 32, 31, 30, 28",8271138754667530601,2,מכנסיים 28-40
"46, 45, 44, 43, 42, 41, 40, 39, 38, 37",258164173730187906,4,נעליים 35-48
"35, 42, 41, 40, 39, 38, 37, 36",-6343782152027222952,3,נעליים 35-48
"47, 46, 45, 44, 43, 42, 41, 40, 39",-7795759257685808577,4,נעליים 35-48
"46, 45, 44, 43, 42, 41, 40, 39",-570365678330919438,1,נעליים 35-48
"48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37",-1456368307733958321,3,נעליים 35-48
"A3, A4, A5",7895006930730956144,1,דפים
"54, 52, 50, 48, 46, 44, 42, 40, 38",-1232640563786128409,6,מכנסיים 36-54
"52, 50, 48, 46, 44, 42, 40, 38",2341600182330569773,3,מכנסיים 36-54
"54, 52, 50, 48, 46, 44, 42, 40, 38, 36",5415916732221551400,1,מכנסיים 36-54
"48, 46, 44, 42, 40, 38",6104001198729416403,1,מכנסיים 36-54
"18, 16, 14, 12, 10, 8, 6, 4, 2",6605960339983454621,2,חולצות ילדים
"11, 10, 9",8898365719802515050,2,כפפות 9-12
"XL, L, M, S",8867857036876642248,2,חולצות XS-5XL
"one size, 3XL, 2XL, XL, L, M, S",-3250627405584563857,1,חולצות XS-5XL
XL,-3346039941880504145,1,חולצות XS-5XL
"48, 47, 46, 45, 44, 43, 42, 41, 40",915583855365264858,1,נעליים 35-48
"XL, L, M, S, XS",-5563654314778567286,1,חולצות XS-5XL
"35, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",-6195065858061988010,1,נעליים 35-48
"47, 46, 45, 44, 43, 42, 41, 40, 38, 37, 36",8039213409942694211,1,נעליים 35-48
"54, 52, 50, 48, 46, 44, 42, 40",8820707240116798002,2,מכנסיים 36-54
"35, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",-7550857773553474261,1,נעליים 35-48
"46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36",8437569071728182828,5,נעליים 35-48
"12, 11, 10, 9",-6325013520993189580,2,כפפות 9-12
"2XL, L",8309461519487475752,1,חולצות XS-5XL
"XL, L, M",-1840937229705900165,1,חולצות XS-5XL
"45, 44, 43, 42, 41, 40, 39, 38, 37",-249167813622872857,1,נעליים 35-48
"46, 45, 44, 43, 42, 41, 40, 39, 38",8564759695608590416,1,נעליים 35-48
"46, 45, 44, 43, 42, 39, 38, 37, 36",2304686534830436107,1,נעליים 35-48
"39-42, 43-47",8592918970513855695,3,גרביים
"45, 44, 43, 42, 41, 40, 39, 38, 37, 36",-4854479021754121983,1,נעליים 35-48
"XL, L",536627888644494243,1,חולצות XS-5XL
"34-39, 28-34",-5373194163679762993,1,גרביים
"45, 44, 43, 42, 41, 40",-2701311821695586958,1,נעליים 35-48
"47, 46, 45, 44, 43, 42, 41, 40, 39, 38",7596335471230572247,1,נעליים 35-48
"46, 45, 44, 43, 42, 41, 40, 39, 38, 36",-3787590308001337596,1,נעליים 35-48